OpeningNum,Type,LAT_DD,LONG_DD
1,Main ingress/egress,27.521057,-82.666775
2,Main ingress/egress,27.498683,-82.660569
3,Mosquito ditching,27.520788,-82.668445
4,Mosquito ditching,27.52006,-82.670359
5,Mosquito ditching,27.515719,-82.676358
6,Mosquito ditching,27.510827,-82.674906
7,Mosquito ditching,27.507126,-82.672704
